food_id,food_name,food_type,city,district,address,longitude,latitude,rating,price_range,special_features,is_recommended
1,德州扒鸡专卖店,食品店,德州市,德城区,德城区解放中大道123号,116.3000,37.4500,4.5,25-80元,德州扒鸡是山东省德州市的传统名吃，采用传统制作技艺，色泽金黄，肉质鲜嫩，五香脱骨，是德州三宝之一。,1
2,周村烧饼老店,食品店,淄博市,周村区,周村区大街128号,117.8500,36.8000,4.7,10-50元,周村烧饼制作技艺是国家级非遗，薄如秋叶，形似满月，落地珠散玉碎，入口回味无穷。,1
3,孔府宴餐厅,餐厅,济宁市,曲阜市,曲阜市鼓楼北街18号,116.9800,35.5800,4.8,150-800元,孔府菜烹饪技艺是省级非遗，以选料精良、制作精细、注重营养、讲究礼仪而闻名，是儒家饮食文化的代表。,1
4,东阿阿胶养生坊,食品店,聊城市,东阿县,东阿县阿胶街78号,116.2500,36.3300,4.6,200-2000元,东阿阿胶制作技艺是国家级非遗，具有三千年历史，补血滋阴，润燥止血，是传统滋补上品。,1
5,泰山豆腐宴餐厅,餐厅,泰安市,泰山区,泰山区红门路56号,117.1200,36.1900,4.4,80-300元,泰山豆腐宴是省级非遗，以泰山豆腐为主料，可制作150多道豆腐菜肴，是泰山饮食文化的代表。,1
6,景芝酒文化体验馆,酒馆,潍坊市,安丘市,安丘市景芝镇景酒大道1号,119.2000,36.4300,4.3,50-500元,景芝酒传统酿造技艺是国家级非遗，有五千余年酿酒历史，芝麻香型白酒的代表。,0
7,亓氏酱香源卤味店,食品店,济南市,莱芜区,莱芜区凤城西大街45号,117.6700,36.2000,4.2,30-150元,亓氏酱香源肉食酱制技艺是省级非遗，百年老字号，酱香浓郁，肉质酥烂，回味悠长。,0
8,龙口粉丝专卖,食品店,烟台市,招远市,招远市金岭镇粉丝产业园,120.4000,37.3600,4.5,15-100元,龙口粉丝传统制作技艺是省级非遗，丝条匀细，纯净光亮，整齐柔韧，洁白透明。,0
9,博山菜馆,餐厅,淄博市,博山区,博山区中心路89号,117.8300,36.4800,4.6,60-400元,博山菜是鲁菜的重要分支，四四席制、讲究礼仪，豆腐箱、酥锅、炸春卷等特色菜品闻名遐迩。,1
10,单县羊肉汤老店,餐厅,菏泽市,单县,单县湖西路26号,116.0800,34.7900,4.8,20-100元,单县羊肉汤已有200多年历史，色白似奶，水脂交融，鲜而不膻，香而不腻，是山东传统名吃。,1
11,超意兴把子肉,快餐店,济南市,历下区,历下区文化西路78号,117.0700,36.6600,4.3,15-40元,济南把子肉肥而不腻，瘦而不柴，配以米饭、四喜丸子和炸鸡蛋，是济南标志性快餐。,1
